	0
pi_mi_Omegac_ProbNNk	0.00011638372234301642
pi_mi_Omegac_ProbNNmu	-1000.0
pi_mi_Omegac_ProbNNp	2.0405508621479385e-05
pi_mi_Omegac_ProbNNpi	0.997514009475708
pi_mi_Omegac_RichAboveElThres	True
pi_mi_Omegac_RichAboveKaThres	True
pi_mi_Omegac_RichAboveMuThres	True
pi_mi_Omegac_RichAbovePiThres	True
pi_mi_Omegac_RichAbovePrThres	True
pi_mi_Omegac_TRACK_CHI2NDOF	0.506478488445282
pi_mi_Omegac_TRACK_CloneDist	-1.0
pi_mi_Omegac_TRACK_GhostProb	0.006392705254256725
pi_mi_Omegac_TRACK_Key	46
pi_mi_Omegac_TRACK_Likelihood	999.0
pi_mi_Omegac_TRACK_MatchCHI2	3.966689348220825
pi_mi_Omegac_TRACK_PCHI2	0.994571410100177
pi_mi_Omegac_TRACK_Type	3
pi_mi_Omegac_UsedRich1Gas	True
pi_mi_Omegac_UsedRich2Gas	True
pi_mi_Omegac_UsedRichAerogel	False
pi_mi_Omegac_Y	3.6968375562274836
pi_mi_Omegac_hasCalo	True
pi_mi_Omegac_hasMuon	True
pi_mi_Omegac_hasRich	True
pi_mi_Omegac_isMuon	False
pr_ETA	3.746821760031327
pr_ID	-2212
pr_IPCHI2_OWNPV	25.606327101599394
pr_IP_OWNPV	3.3222507191954556
pr_M	938.2720487684047
pr_ORIVX_CHI2	0.030941449105739594
pr_ORIVX_COV_	{ 3.36172f, -2.89188f, 98.2242f, -2.89188f, 3.05900f, -88.5324f, 98.2242f, -88.5324f, 2946.85f }
pr_ORIVX_NDOF	1
pr_ORIVX_X	29.9068
pr_ORIVX_XERR	1.8335
pr_ORIVX_Y	-26.0252
pr_ORIVX_YERR	1.749
pr_ORIVX_Z	890.6983
pr_ORIVX_ZERR	54.2849
pr_OWNPV_CHI2	60.701847076416016
pr_OWNPV_COV_	{ 7.56900e-05f, -1.19712e-07f, -3.36171e-05f, -1.19712e-07f, 7.39600e-05f, 1.36232e-05f, -3.36171e-05f, 1.36232e-05f, 0.00231361f }
pr_OWNPV_NDOF	133
pr_OWNPV_X	0.8872
pr_OWNPV_XERR	0.0087
pr_OWNPV_Y	0.1858
pr_OWNPV_YERR	0.0086
pr_OWNPV_Z	9.6854
pr_OWNPV_ZERR	0.0481
pr_P	23039.353658306045
pr_PE	23058.451193217643
pr_PHI	-0.7714119235741194
pr_PIDK	14.103433609008789
pr_PIDd	15.21518325805664
pr_PIDe	-8.044702529907227
pr_PIDmu	-5.278728008270264
pr_PIDp	18.59956932067871
pr_PT	1086.5121969402828
pr_PX	778.95
pr_PY	-757.46
pr_PZ	23013.72
pr_ProbNNd	-1000.0
pr_ProbNNe	1.6811139147421272e-08
pr_ProbNNghost	0.021577605977654457
pr_ProbNNk	0.10329046100378036
pr_ProbNNmu	-1000.0
pr_ProbNNp	0.8358439803123474
pr_ProbNNpi	0.067803293466568
pr_RichAboveElThres	True
pr_RichAboveKaThres	True
pr_RichAboveMuThres	True
pr_RichAbovePiThres	True
pr_RichAbovePrThres	True
pr_TRACK_CHI2NDOF	0.4538644254207611
pr_TRACK_CloneDist	-1.0
pr_TRACK_GhostProb	0.001177409547381103
pr_TRACK_Key	3
pr_TRACK_Likelihood	999.0
pr_TRACK_MatchCHI2	-1.0
pr_TRACK_PCHI2	0.9722539106759769
pr_TRACK_Type	5
pr_UsedRich1Gas	True
pr_UsedRich2Gas	True
pr_UsedRichAerogel	False
pr_Y	3.4686466459313614
pr_hasCalo	True
pr_hasMuon	True
pr_hasRich	True
pr_isMuon	False
runNumber	215612
totCandidates	13
